time1,time2,bodystate
Fri Mar  7 19:08:00 2014,Fri Mar  7 19:31:00 2014,inactive
Fri Mar  7 19:04:00 2014,Fri Mar  7 19:08:00 2014,light_activity
Fri Mar  7 18:47:00 2014,Fri Mar  7 19:04:00 2014,inactive
Fri Mar  7 18:33:00 2014,Fri Mar  7 18:47:00 2014,light_activity
Fri Mar  7 18:25:00 2014,Fri Mar  7 18:33:00 2014,off_wrist
Fri Mar  7 18:23:00 2014,Fri Mar  7 18:25:00 2014,light_activity
Fri Mar  7 18:20:00 2014,Fri Mar  7 18:23:00 2014,inactive
Fri Mar  7 18:16:00 2014,Fri Mar  7 18:20:00 2014,light_activity
Fri Mar  7 18:12:00 2014,Fri Mar  7 18:16:00 2014,inactive
Fri Mar  7 18:06:00 2014,Fri Mar  7 18:12:00 2014,light_activity
Fri Mar  7 17:06:00 2014,Fri Mar  7 18:06:00 2014,inactive
Fri Mar  7 17:00:00 2014,Fri Mar  7 17:06:00 2014,light_activity
Fri Mar  7 14:37:00 2014,Fri Mar  7 17:00:00 2014,inactive
Fri Mar  7 14:30:00 2014,Fri Mar  7 14:37:00 2014,light_activity
Fri Mar  7 14:27:00 2014,Fri Mar  7 14:30:00 2014,inactive
Fri Mar  7 14:24:00 2014,Fri Mar  7 14:27:00 2014,light_activity
Fri Mar  7 14:08:00 2014,Fri Mar  7 14:24:00 2014,inactive
Fri Mar  7 14:05:00 2014,Fri Mar  7 14:08:00 2014,light_activity
Fri Mar  7 13:07:00 2014,Fri Mar  7 14:05:00 2014,inactive
Fri Mar  7 13:06:00 2014,Fri Mar  7 13:07:00 2014,light_activity
Fri Mar  7 13:02:00 2014,Fri Mar  7 13:06:00 2014,inactive
Fri Mar  7 13:01:00 2014,Fri Mar  7 13:02:00 2014,light_activity
Fri Mar  7 12:45:00 2014,Fri Mar  7 13:01:00 2014,inactive
Fri Mar  7 12:29:00 2014,Fri Mar  7 12:45:00 2014,light_activity
Fri Mar  7 12:06:00 2014,Fri Mar  7 12:29:00 2014,inactive
